scope,query_id,split,system,P@10,R@20,F1,NDCG@20,hallucinated_or_out_of_pool,total_tokens,latency_s
resolvable,RealScholarQuery_18,test,bm25,0.0,0.0,0.0,0.0,0,0,0.0
resolvable,RealScholarQuery_18,test,neural_embedding_v2,0.2,0.4,0.26666666666666666,0.32703966649239957,0,0,0.0
resolvable,RealScholarQuery_18,test,single_llm,0.2,0.4,0.26666666666666666,0.5531464700081437,0,1520,7.8098793999961345
resolvable,RealScholarQuery_18,test,scholarloop_a_v2_no_rerank,0.2,0.4,0.26666666666666666,0.5087403079104241,0,0,0.0
resolvable,RealScholarQuery_18,test,scholarloop_a_v2,0.2,0.4,0.26666666666666666,0.5531464700081437,0,0,13.994964400000754
resolvable,RealScholarQuery_19,holdout,keyword,0.0,0.0,0.0,0.0,0,0,0.0
resolvable,RealScholarQuery_19,holdout,bm25,0.4,0.23529411764705882,0.29629629629629634,0.46484667951282305,0,0,0.0
resolvable,RealScholarQuery_19,holdout,neural_embedding_v2,0.5,0.23529411764705882,0.31999999999999995,0.4186292927168308,0,0,0.0
resolvable,RealScholarQuery_19,holdout,single_llm,0.8,0.23529411764705882,0.3636363636363636,0.5493599810010675,0,1444,7.862283700000262
resolvable,RealScholarQuery_19,holdout,scholarloop_a_v2_no_rerank,0.6,0.3235294117647059,0.4203821656050955,0.5591787966728853,0,0,0.0
resolvable,RealScholarQuery_19,holdout,scholarloop_a_v2,0.5,0.3235294117647059,0.3928571428571429,0.5568778129418,0,0,12.051487900011125
resolvable,RealScholarQuery_20,holdout,keyword,0.0,0.0,0.0,0.0,0,0,0.0
resolvable,RealScholarQuery_20,holdout,bm25,0.1,0.25,0.14285714285714288,0.13012668333070054,0,0,0.0
resolvable,RealScholarQuery_20,holdout,neural_embedding_v2,0.0,0.25,0.0,0.09992090652113537,0,0,0.0
resolvable,RealScholarQuery_20,holdout,single_llm,0.1,0.25,0.14285714285714288,0.16812753627111746,0,1479,7.896314899990102
resolvable,RealScholarQuery_20,holdout,scholarloop_a_v2_no_rerank,0.1,0.25,0.14285714285714288,0.11751610475642714,0,0,0.0
resolvable,RealScholarQuery_20,holdout,scholarloop_a_v2,0.1,0.25,0.14285714285714288,0.19519002499605084,0,0,13.420904899991001
resolvable,RealScholarQuery_21,train,keyword,0.0,0.0,0.0,0.0,0,0,0.0
resolvable,RealScholarQuery_21,train,bm25,0.0,0.0,0.0,0.0,0,0,0.0
resolvable,RealScholarQuery_21,train,neural_embedding_v2,0.0,0.0,0.0,0.0,0,0,0.0
resolvable,RealScholarQuery_21,train,single_llm,0.0,0.0,0.0,0.0,0,1729,10.012449200003175
resolvable,RealScholarQuery_21,train,scholarloop_a_v2_no_rerank,0.0,0.0,0.0,0.0,0,0,0.0
resolvable,RealScholarQuery_21,train,scholarloop_a_v2,0.0,0.0,0.0,0.0,0,0,16.498300799998106
